Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2024-25,38.0,SAS,NBA,77,32,45,.416,-6.5,4,,,,,,,Mitch Johnson
2025-26,39.0,SAS,NBA,82,62,20,.756,21.0,1,,6,4,2,.667,,Mitch Johnson
1999-00,51.0,SAS,NBA,82,53,29,.646,12.0,2,,4,1,3,.250,,Gregg Popovich
2000-01,52.0,SAS,NBA,82,58,24,.707,17.0,1,,13,7,6,.538,,Gregg Popovich
2001-02,53.0,SAS,NBA,82,58,24,.707,17.0,1,,10,4,6,.400,,Gregg Popovich
2002-03,54.0,SAS,NBA,82,60,22,.732,19.0,1,,24,16,8,.667,NBA Champions,Gregg Popovich
2003-04,55.0,SAS,NBA,82,57,25,.695,16.0,2,,10,6,4,.600,,Gregg Popovich
2004-05,56.0,SAS,NBA,82,59,23,.720,18.0,1,,23,16,7,.696,NBA Champions,Gregg Popovich
2005-06,57.0,SAS,NBA,82,63,19,.768,22.0,1,,13,7,6,.538,,Gregg Popovich
2006-07,58.0,SAS,NBA,82,58,24,.707,17.0,2,,20,16,4,.800,NBA Champions,Gregg Popovich
2007-08,59.0,SAS,NBA,82,56,26,.683,15.0,2,,17,9,8,.529,,Gregg Popovich
2008-09,60.0,SAS,NBA,82,54,28,.659,13.0,1,,5,1,4,.200,,Gregg Popovich
2009-10,61.0,SAS,NBA,82,50,32,.610,9.0,2,,10,4,6,.400,,Gregg Popovich
2010-11,62.0,SAS,NBA,82,61,21,.744,20.0,1,,6,2,4,.333,,Gregg Popovich
2011-12,63.0,SAS,NBA,66,50,16,.758,17.0,1,,14,10,4,.714,,Gregg Popovich
2012-13,64.0,SAS,NBA,82,58,24,.707,17.0,1,,21,15,6,.714,WC Champions,Gregg Popovich
2013-14,65.0,SAS,NBA,82,62,20,.756,21.0,1,,23,16,7,.696,NBA Champions,Gregg Popovich
2014-15,66.0,SAS,NBA,82,55,27,.671,14.0,3,,7,3,4,.429,,Gregg Popovich
2015-16,67.0,SAS,NBA,82,67,15,.817,26.0,1,,10,6,4,.600,,Gregg Popovich
2016-17,68.0,SAS,NBA,82,61,21,.744,20.0,1,,16,8,8,.500,,Gregg Popovich
2017-18,69.0,SAS,NBA,82,47,35,.573,6.0,3,,5,1,4,.200,,Gregg Popovich
2018-19,70.0,SAS,NBA,82,48,34,.585,7.0,2,,7,3,4,.429,,Gregg Popovich
2019-20,71.0,SAS,NBA,71,32,39,.451,-3.5,4,,,,,,,Gregg Popovich
2020-21,72.0,SAS,NBA,72,33,39,.458,-3.0,3,,,,,,,Gregg Popovich
2021-22,73.0,SAS,NBA,82,34,48,.415,-7.0,4,,,,,,,Gregg Popovich
2022-23,74.0,SAS,NBA,82,22,60,.268,-19.0,5,,,,,,,Gregg Popovich
2023-24,75.0,SAS,NBA,82,22,60,.268,-19.0,5,,,,,,,Gregg Popovich
2024-25,76.0,SAS,NBA,5,2,3,.400,-0.5,4,,,,,,,Gregg Popovich
