Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2003-04,48.0,BOS,NBA,36,14,22,.389,-4.0,4,,4,0,4,.000,,John Carroll
2022-23,34.0,BOS,NBA,82,57,25,.695,16.0,1,,20,11,9,.550,,Joe Mazzulla
2023-24,35.0,BOS,NBA,82,64,18,.780,23.0,1,,19,16,3,.842,NBA Champions,Joe Mazzulla
2024-25,36.0,BOS,NBA,82,61,21,.744,20.0,1,,11,6,5,.545,,Joe Mazzulla
2025-26,37.0,BOS,NBA,82,56,26,.683,15.0,1,,7,3,4,.429,,Joe Mazzulla
2000-01,48.0,BOS,NBA,48,24,24,.500,0.0,5,,,,,,,Jim O'Brien
2001-02,49.0,BOS,NBA,82,49,33,.598,8.0,2,,16,9,7,.563,,Jim O'Brien
2002-03,50.0,BOS,NBA,82,44,38,.537,3.0,3,,10,4,6,.400,,Jim O'Brien
2003-04,51.0,BOS,NBA,46,22,24,.478,-1.0,4,,,,,,,Jim O'Brien
1999-00,47.0,BOS,NBA,82,35,47,.427,-6.0,5,,,,,,,Rick Pitino
2000-01,48.0,BOS,NBA,34,12,22,.353,-5.0,5,,,,,,,Rick Pitino
2004-05,43.0,BOS,NBA,82.0,45.0,37.0,0.549,4.0,1.0,,7.0,3.0,4.0,0.429,,Doc Rivers
2005-06,44.0,BOS,NBA,82.0,33.0,49.0,0.402,-8.0,3.0,,,,,,,Doc Rivers
2006-07,45.0,BOS,NBA,82.0,24.0,58.0,0.293,-17.0,5.0,,,,,,,Doc Rivers
2007-08,46.0,BOS,NBA,82.0,66.0,16.0,0.805,25.0,1.0,,26.0,16.0,10.0,0.615,NBA Champions,Doc Rivers
2008-09,47.0,BOS,NBA,82.0,62.0,20.0,0.756,21.0,1.0,,14.0,7.0,7.0,0.5,,Doc Rivers
2009-10,48.0,BOS,NBA,82.0,50.0,32.0,0.61,9.0,1.0,,24.0,15.0,9.0,0.625,EC Champions,Doc Rivers
2010-11,49.0,BOS,NBA,82.0,56.0,26.0,0.683,15.0,1.0,,9.0,5.0,4.0,0.556,,Doc Rivers
2011-12,50.0,BOS,NBA,66.0,39.0,27.0,0.591,6.0,1.0,,20.0,11.0,9.0,0.55,,Doc Rivers
2012-13,51.0,BOS,NBA,81.0,41.0,40.0,0.506,0.5,3.0,,6.0,2.0,4.0,0.333,,Doc Rivers
2013-14,37.0,BOS,NBA,82.0,25.0,57.0,0.305,-16.0,4.0,,,,,,,Brad Stevens
2014-15,38.0,BOS,NBA,82.0,40.0,42.0,0.488,-1.0,2.0,,4.0,0.0,4.0,0.0,,Brad Stevens
2015-16,39.0,BOS,NBA,82.0,48.0,34.0,0.585,7.0,2.0,,6.0,2.0,4.0,0.333,,Brad Stevens
2016-17,40.0,BOS,NBA,82.0,53.0,29.0,0.646,12.0,1.0,,18.0,9.0,9.0,0.5,,Brad Stevens
2017-18,41.0,BOS,NBA,82.0,55.0,27.0,0.671,14.0,2.0,,19.0,11.0,8.0,0.579,,Brad Stevens
2018-19,42.0,BOS,NBA,82.0,49.0,33.0,0.598,8.0,3.0,,9.0,5.0,4.0,0.556,,Brad Stevens
2019-20,43.0,BOS,NBA,72.0,48.0,24.0,0.667,12.0,2.0,,17.0,10.0,7.0,0.588,,Brad Stevens
2020-21,44.0,BOS,NBA,72.0,36.0,36.0,0.5,0.0,4.0,,5.0,1.0,4.0,0.2,,Brad Stevens
2021-22,44.0,BOS,NBA,82,51,31,.622,10.0,1,,24,14,10,.583,EC Champions,Ime Udoka
