Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2008-09,49.0,DAL,NBA,82,50,32,.610,9.0,3,,10,5,5,.500,,Rick Carlisle
2009-10,50.0,DAL,NBA,82,55,27,.671,14.0,1,,6,2,4,.333,,Rick Carlisle
2010-11,51.0,DAL,NBA,82,57,25,.695,16.0,2,,21,16,5,.762,NBA Champions,Rick Carlisle
2011-12,52.0,DAL,NBA,66,36,30,.545,3.0,3,,4,0,4,.000,,Rick Carlisle
2012-13,53.0,DAL,NBA,82,41,41,.500,0.0,4,,,,,,,Rick Carlisle
2013-14,54.0,DAL,NBA,82,49,33,.598,8.0,4,,7,3,4,.429,,Rick Carlisle
2014-15,55.0,DAL,NBA,82,50,32,.610,9.0,4,,5,1,4,.200,,Rick Carlisle
2015-16,56.0,DAL,NBA,82,42,40,.512,1.0,2,,5,1,4,.200,,Rick Carlisle
2016-17,57.0,DAL,NBA,82,33,49,.402,-8.0,5,,,,,,,Rick Carlisle
2017-18,58.0,DAL,NBA,82,24,58,.293,-17.0,4,,,,,,,Rick Carlisle
2018-19,59.0,DAL,NBA,82,33,49,.402,-8.0,5,,,,,,,Rick Carlisle
2019-20,60.0,DAL,NBA,75,43,32,.573,5.5,2,,6,2,4,.333,,Rick Carlisle
2020-21,61.0,DAL,NBA,72,42,30,.583,6.0,1,,7,3,4,.429,,Rick Carlisle
2004-05,39.0,DAL,NBA,18,16,2,.889,7.0,2,,13,6,7,.462,,Avery Johnson
2005-06,40.0,DAL,NBA,82,60,22,.732,19.0,2,,23,14,9,.609,WC Champions,Avery Johnson
2006-07,41.0,DAL,NBA,82,67,15,.817,26.0,1,,6,2,4,.333,,Avery Johnson
2007-08,42.0,DAL,NBA,82,51,31,.622,10.0,4,,5,1,4,.200,,Avery Johnson
2021-22,48.0,DAL,NBA,82,52,30,.634,11.0,2,,18,9,9,.500,,Jason Kidd
2022-23,49.0,DAL,NBA,82,38,44,.463,-3.0,3,,,,,,,Jason Kidd
2023-24,50.0,DAL,NBA,82,50,32,.610,9.0,1,,22,13,9,.591,WC Champions,Jason Kidd
2024-25,51.0,DAL,NBA,82,39,43,.476,-2.0,3,,,,,,,Jason Kidd
2025-26,52.0,DAL,NBA,82,26,56,.317,-15.0,4,,,,,,,Jason Kidd
1999-00,59.0,DAL,NBA,82,40,42,.488,-1.0,4,,,,,,,Don Nelson
2000-01,60.0,DAL,NBA,82,53,29,.646,12.0,3,,10,4,6,.400,,Don Nelson
2001-02,61.0,DAL,NBA,82,57,25,.695,16.0,2,,8,4,4,.500,,Don Nelson
2002-03,62.0,DAL,NBA,82,60,22,.732,19.0,2,,20,10,10,.500,,Don Nelson
2003-04,63.0,DAL,NBA,82,52,30,.634,11.0,3,,5,1,4,.200,,Don Nelson
2004-05,64.0,DAL,NBA,64,42,22,.656,10.0,2,,,,,,,Don Nelson
